package,doi,target
aion,10.5281/zenodo.8032278,concept
aion,10.32614/cran.package.aion,CRAN
aion,10.21105/joss.06210,JOSS
alkahest,10.5281/zenodo.7081524,concept
alkahest,10.32614/cran.package.alkahest,CRAN
ananke,10.5281/zenodo.13236285,concept
arkhe,10.5281/zenodo.3526659,concept
arkhe,10.32614/cran.package.arkhe,CRAN
dimensio,10.5281/zenodo.4478530,concept
dimensio,10.32614/cran.package.dimensio,CRAN
folio,10.5281/zenodo.4476182,concept
folio,10.32614/cran.package.folio,CRAN
isopleuros,10.5281/zenodo.7940389,concept
isopleuros,10.32614/cran.package.isopleuros,CRAN
kairos,10.5281/zenodo.5653896,concept
kairos,10.32614/cran.package.kairos,CRAN
khroma,10.5281/zenodo.1472077,concept
khroma,10.32614/cran.package.khroma,CRAN
nexus,10.5281/zenodo.10225630,concept
nexus,10.32614/cran.package.nexus,CRAN
tabula,10.5281/zenodo.1489944,concept
tabula,10.32614/cran.package.tabula,CRAN
tabula,10.21105/joss.01821,JOSS
tesselle,10.5281/zenodo.6500491,concept
tesselle,10.32614/cran.package.tesselle,CRAN
