"date","mindownloads","count","package","updateday","adjusted_downloads","adjusted_total_downloads","total_downloads"
2023-06-12,0,0,"aion",FALSE,0,0,0
2023-06-13,0,50,"aion",TRUE,1,1,50
2023-06-14,0,10,"aion",FALSE,1,2,60
2023-06-15,2,8,"aion",FALSE,6,8,68
2023-06-16,0,39,"aion",FALSE,39,47,107
2023-06-17,0,6,"aion",FALSE,6,53,113
2023-06-18,0,13,"aion",FALSE,13,66,126
2023-06-19,0,23,"aion",FALSE,23,89,149
2023-06-20,0,18,"aion",FALSE,18,107,167
2023-06-21,2,12,"aion",FALSE,10,117,179
2023-06-22,0,10,"aion",FALSE,10,127,189
2023-06-23,0,8,"aion",FALSE,8,135,197
2023-06-24,0,4,"aion",FALSE,4,139,201
2023-06-25,0,7,"aion",FALSE,7,146,208
2023-06-26,0,9,"aion",FALSE,9,155,217
2023-06-27,0,30,"aion",FALSE,30,185,247
2023-06-28,2,16,"aion",FALSE,14,199,263
2023-06-29,0,13,"aion",FALSE,13,212,276
2023-06-30,0,4,"aion",FALSE,4,216,280
2023-07-01,0,6,"aion",FALSE,6,222,286
2023-07-02,0,3,"aion",FALSE,3,225,289
2023-07-03,0,13,"aion",FALSE,13,238,302
2023-07-04,0,13,"aion",FALSE,13,251,315
2023-07-05,1,15,"aion",FALSE,14,265,330
2023-07-06,0,14,"aion",FALSE,14,279,344
2023-07-07,0,17,"aion",FALSE,17,296,361
2023-07-08,0,7,"aion",FALSE,7,303,368
2023-07-09,0,5,"aion",FALSE,5,308,373
2023-07-10,0,13,"aion",FALSE,13,321,386
2023-07-11,0,10,"aion",FALSE,10,331,396
2023-07-12,2,13,"aion",FALSE,11,342,409
2023-07-13,0,8,"aion",FALSE,8,350,417
2023-07-14,0,10,"aion",FALSE,10,360,427
2023-07-15,0,7,"aion",FALSE,7,367,434
2023-07-16,0,6,"aion",FALSE,6,373,440
2023-07-17,0,9,"aion",FALSE,9,382,449
2023-07-18,0,13,"aion",FALSE,13,395,462
2023-07-19,2,8,"aion",FALSE,6,401,470
2023-07-20,0,2,"aion",FALSE,2,403,472
2023-07-21,0,10,"aion",FALSE,10,413,482
2023-07-22,0,4,"aion",FALSE,4,417,486
2023-07-23,0,8,"aion",FALSE,8,425,494
2023-07-24,0,8,"aion",FALSE,8,433,502
