"package","month","count","adjusted_downloads","total_count","total_downloads"
"aion",2023-06-01,280,216,280,216
"aion",2023-07-01,292,284,572,500
"aion",2023-08-01,429,375,1001,875
"aion",2023-09-01,326,323,1327,1198
"aion",2023-10-01,444,381,1771,1579
"aion",2023-11-01,468,459,2239,2038
"aion",2023-12-01,310,304,2549,2342
"aion",2024-01-01,504,486,3053,2828
"aion",2024-02-01,295,287,3348,3115
"aion",2024-03-01,369,361,3717,3476
"aion",2024-04-01,326,320,4043,3796
"aion",2024-05-01,375,364,4418,4160
"aion",2024-06-01,366,360,4784,4520
"aion",2024-07-01,485,418,5269,4938
"aion",2024-08-01,587,580,5856,5518
"aion",2024-09-01,433,424,6289,5942
"aion",2024-10-01,394,386,6683,6328
"aion",2024-11-01,575,572,7258,6900
"aion",2024-12-01,555,551,7813,7451
"alkahest",2022-09-01,192,165,192,165
"alkahest",2022-10-01,329,301,521,466
"alkahest",2022-11-01,247,214,768,680
"alkahest",2022-12-01,181,173,949,853
"alkahest",2023-01-01,217,199,1166,1052
"alkahest",2023-02-01,205,195,1371,1247
"alkahest",2023-03-01,261,226,1632,1473
"alkahest",2023-04-01,245,219,1877,1692
"alkahest",2023-05-01,342,312,2219,2004
"alkahest",2023-06-01,377,341,2596,2345
"alkahest",2023-07-01,275,267,2871,2612
"alkahest",2023-08-01,245,235,3116,2847
"alkahest",2023-09-01,210,207,3326,3054
"alkahest",2023-10-01,237,234,3563,3288
"alkahest",2023-11-01,251,242,3814,3530
"alkahest",2023-12-01,194,188,4008,3718
"alkahest",2024-01-01,450,432,4458,4150
"alkahest",2024-02-01,196,188,4654,4338
"alkahest",2024-03-01,273,265,4927,4603
"alkahest",2024-04-01,278,272,5205,4875
"alkahest",2024-05-01,264,253,5469,5128
"alkahest",2024-06-01,204,198,5673,5326
"alkahest",2024-07-01,361,332,6034,5658
"alkahest",2024-08-01,411,404,6445,6062
"alkahest",2024-09-01,310,301,6755,6363
"alkahest",2024-10-01,205,195,6960,6558
"alkahest",2024-11-01,287,282,7247,6840
"alkahest",2024-12-01,208,202,7455,7042
"arkhe",2019-12-01,327,194,327,194
"arkhe",2020-01-01,639,262,966,456
"arkhe",2020-02-01,766,577,1732,1033
"arkhe",2020-03-01,810,618,2542,1651
"arkhe",2020-04-01,850,753,3392,2404
"arkhe",2020-05-01,891,774,4283,3178
"arkhe",2020-06-01,742,611,5025,3789
"arkhe",2020-07-01,677,547,5702,4336
"arkhe",2020-08-01,603,485,6305,4821
"arkhe",2020-09-01,726,612,7031,5433
"arkhe",2020-10-01,569,458,7600,5891
"arkhe",2020-11-01,534,408,8134,6299
"arkhe",2020-12-01,544,397,8678,6696
"arkhe",2021-01-01,480,369,9158,7065
"arkhe",2021-02-01,529,400,9687,7465
"arkhe",2021-03-01,503,398,10190,7863
"arkhe",2021-04-01,672,558,10862,8421
"arkhe",2021-05-01,826,690,11688,9111
"arkhe",2021-06-01,540,469,12228,9580
"arkhe",2021-07-01,493,405,12721,9985
"arkhe",2021-08-01,696,626,13417,10611
"arkhe",2021-09-01,672,559,14089,11170
"arkhe",2021-10-01,845,777,14934,11947
"arkhe",2021-11-01,1139,1077,16073,13024
"arkhe",2021-12-01,588,512,16661,13536
"arkhe",2022-01-01,431,400,17092,13936
"arkhe",2022-02-01,490,423,17582,14359
"arkhe",2022-03-01,1042,968,18624,15327
"arkhe",2022-04-01,1160,1096,19784,16423
"arkhe",2022-05-01,1081,1017,20865,17440
"arkhe",2022-06-01,1165,1000,22030,18440
"arkhe",2022-07-01,1187,1136,23217,19576
"arkhe",2022-08-01,1131,1069,24348,20645
"arkhe",2022-09-01,598,558,24946,21203
"arkhe",2022-10-01,686,582,25632,21785
"arkhe",2022-11-01,758,725,26390,22510
"arkhe",2022-12-01,460,451,26850,22961
"arkhe",2023-01-01,550,455,27400,23416
"arkhe",2023-02-01,537,526,27937,23942
"arkhe",2023-03-01,621,586,28558,24528
"arkhe",2023-04-01,575,549,29133,25077
"arkhe",2023-05-01,754,675,29887,25752
"arkhe",2023-06-01,602,593,30489,26345
"arkhe",2023-07-01,515,507,31004,26852
"arkhe",2023-08-01,571,561,31575,27413
"arkhe",2023-09-01,749,676,32324,28089
"arkhe",2023-10-01,682,679,33006,28768
"arkhe",2023-11-01,874,787,33880,29555
"arkhe",2023-12-01,668,662,34548,30217
"arkhe",2024-01-01,1126,1017,35674,31234
"arkhe",2024-02-01,855,695,36529,31929
"arkhe",2024-03-01,875,867,37404,32796
"arkhe",2024-04-01,697,691,38101,33487
"arkhe",2024-05-01,729,718,38830,34205
"arkhe",2024-06-01,665,659,39495,34864
"arkhe",2024-07-01,716,590,40211,35454
"arkhe",2024-08-01,1134,1127,41345,36581
"arkhe",2024-09-01,822,813,42167,37394
"arkhe",2024-10-01,591,581,42758,37975
"arkhe",2024-11-01,976,971,43734,38946
"arkhe",2024-12-01,946,940,44680,39886
"dimensio",2021-04-01,148,118,148,118
"dimensio",2021-05-01,663,532,811,650
"dimensio",2021-06-01,420,349,1231,999
"dimensio",2021-07-01,414,326,1645,1325
"dimensio",2021-08-01,514,444,2159,1769
"dimensio",2021-09-01,540,422,2699,2191
"dimensio",2021-10-01,677,609,3376,2800
"dimensio",2021-11-01,918,856,4294,3656
"dimensio",2021-12-01,445,369,4739,4025
"dimensio",2022-01-01,332,301,5071,4326
"dimensio",2022-02-01,354,287,5425,4613
"dimensio",2022-03-01,890,816,6315,5429
"dimensio",2022-04-01,1027,963,7342,6392
"dimensio",2022-05-01,953,889,8295,7281
"dimensio",2022-06-01,911,866,9206,8147
"dimensio",2022-07-01,950,899,10156,9046
"dimensio",2022-08-01,1144,1003,11300,10049
"dimensio",2022-09-01,555,515,11855,10564
"dimensio",2022-10-01,606,578,12461,11142
"dimensio",2022-11-01,382,349,12843,11491
"dimensio",2022-12-01,253,244,13096,11735
"dimensio",2023-01-01,227,209,13323,11944
"dimensio",2023-02-01,266,255,13589,12199
